id,order_id,distributor_id,name,amount
1,18,7,#b20200,8
2,5,3,#f28c60,15
3,4,13,#edb85c,7
4,7,10,#1614b7,9
5,17,10,#21117c,15
6,8,13,#a985d3,3
7,3,4,#119162,25
8,18,8,#8251ba,25
9,9,13,#9dff9b,20
10,9,7,#cbef56,16
11,13,1,#703ce0,7
12,18,10,#fc5fd5,23
13,18,14,#d18ee5,7
14,2,4,#c7b8f9,12
15,15,5,#86f751,21
16,9,14,#e0c600,2
17,17,10,#5d22cc,10
18,7,3,#316eaf,12
19,6,6,#7035ce,10
20,6,10,#599fe0,22
21,9,2,#2a56a3,5
22,16,14,#fc6dff,5
23,10,12,#083068,1
24,4,12,#c3e27f,8
25,8,14,#a1ad1a,12
26,13,3,#3ec148,20
27,5,1,#378ad3,15
28,11,12,#eda8e7,2
29,4,7,#14ba3d,22
30,2,3,#d838a5,9
31,8,12,#b7e2f7,25
32,1,8,#2b8c0b,14
33,15,7,#eb3af4,10
34,16,14,#81f4a4,23
35,18,12,#ce02c4,15
36,7,10,#699ace,4
37,11,6,#446ddd,14
38,5,9,#0c0cff,7
39,13,1,#e8dc3a,21
40,13,2,#e8b468,13
41,10,6,#30e8d8,3
42,6,8,#8946db,19
43,16,5,#59db85,13
44,2,10,#efa5b6,24
45,1,9,#bf8601,2
