id,department_id,order_type_id,deal_id,district_id,amount,date_of_beginning,date_of_end
1,1,6,7,5,23,2023-01-11,2023-01-28
2,5,2,3,9,41,2022-12-29,2023-01-20
3,7,12,14,16,29,2022-12-02,2022-12-25
4,8,10,12,12,26,2022-12-20,2022-12-30
5,3,7,16,8,42,2022-12-17,2022-12-25
6,4,6,9,7,49,2023-01-05,2023-01-19
7,2,8,7,15,41,2022-12-07,2022-12-24
8,2,11,3,10,8,2022-12-14,2022-12-24
9,4,12,16,6,40,2022-12-24,2023-01-09
10,3,11,15,6,35,2023-01-04,2023-01-13
11,2,10,13,8,27,2023-01-01,2023-01-28
12,3,11,3,15,4,2023-01-09,2023-01-23
13,4,2,4,15,11,2023-01-01,2023-02-01
14,6,14,5,7,19,2022-12-12,2022-12-27
15,9,11,7,10,48,2023-01-04,2023-02-01
16,9,12,10,4,7,2022-12-04,2023-01-08
17,1,11,6,12,12,2023-01-05,2023-01-22
18,8,2,14,4,49,2023-01-13,2023-01-29
19,2,4,10,7,6,2022-12-13,2022-12-28
